gene_id,MPANC_CON-DMSO-1_S1,MPANC_CON-DMSO-2_S2,MPANC_CON-Gem-1_S3,MPANC_CON-Gem-2_S4,MPANC_KO-DMSO-1_S9,MPANC_KO-DMSO-2_S10,MPANC_KO-Gem-1_S11,MPANC_KO-Gem-2_S12,PANC1_CON-DMSO-1_S1,PANC1_CON-DMSO-2_S2,PANC1_CON-Gem-1_S3,PANC1_CON-Gem-2_S4,PANC1_KO-DMSO-1_S9,PANC1_KO-DMSO-2_S10,PANC1_KO-Gem-1_S11,PANC1_KO-Gem-2_S12
ENSG00000277549.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214237.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254756.1,6,4,7,16,15,14,12,13,3,2,3,2,14,10,8,4
ENSG00000108785.7,29,23,22,27,29,23,22,11,10,6,6,12,15,21,11,12
ENSG00000155438.11,1068,1187,1197,1096,978,1046,1020,1170,1185,1304,1088,1216,777,789,911,1011
ENSG00000128463.12,1481,1314,1060,1166,1272,1353,1487,1442,1309,1412,1247,831,1044,1011,1096,1078
ENSG00000260866.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197641.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280832.1,123,120,102,97,173,194,136,148,59,61,68,45,109,115,127,109
ENSG00000201432.1,1,0,0,1,1,0,1,0,1,2,0,0,0,0,2,0
ENSG00000188778.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225870.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243537.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266236.1,1,2,4,3,2,4,7,7,4,5,8,4,3,1,3,2
ENSG00000201009.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000081721.11,570,525,519,514,378,440,416,425,329,345,330,332,291,276,301,327
ENSG00000234227.1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
ENSG00000279411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131778.18,1728,1601,1791,1679,1486,1722,1813,1738,2524,2544,2311,2361,1417,1286,1557,1694
ENSG00000268869.5,0,0,1,2,3,11,3,6,0,0,0,0,0,2,0,2
ENSG00000230309.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243655.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207422.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124302.12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000175505.10,281,265,347,358,274,332,315,354,297,262,287,256,282,269,336,325
ENSG00000274560.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284209.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278463.1,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,2
ENSG00000106346.11,933,920,907,864,1119,1139,980,884,952,987,958,922,947,987,843,904
ENSG00000241169.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150527.17,2297,2393,2330,2251,2568,2817,2687,2579,535,640,505,495,2366,2321,2526,2658
