sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
HJURP-sg11,HJURP,0,0,146.437771,0,0,0
JMJD6-sg6,JMJD6,0,0,73.87262554,0,0,0
TAF5L-sg10,TAF5L,496.105481,218.7422599,359.557027,141.9273959,0,92.74215071
SETD6-sg2,SETD6,384.811856,182.0405384,66.681485,580.7703867,0,12.16290501
ZCWPW1-sg3,ZCWPW1,0,96.89254465,186.315914,235.9651796,0,9.122178758
CCDC101-sg5,CCDC101,0,155.615299,0,0,0,95.78287696
ERCC6-sg13,ERCC6,358.4031992,303.8902537,129.4405297,105.3571466,147.1212736,7.601815632
HDGFL1-sg4,HDGFL1,45.27198305,0,0.653740049,0,0,183.9639383
UBE2B-sg6,UBE2B,141.474947,1883.532345,249.0749587,0,54.4893606,448.5071223
RNF8-sg11,RNF8,45.27198305,0,1227.070072,0,0,0
PRDM11-sg7,PRDM11,452.7198305,93.95640693,33.3407425,909.0319097,0,0
NAP1L1-sg10,NAP1L1,28.29498941,2150.720877,179.1247734,916.8683916,0,1982.553517
FOXA1-sg1,FOXA1,814.895695,54.31854776,136.6316702,208.9728528,163.4680818,886.3717026
PEG3_3,PEG3,247.1095742,155.615299,0,0,0,0
MYB-sg11,MYB,60.36264407,1203.816464,36.60944275,0,0,0
TAF5L-sg6,TAF5L,0,0,126.1718295,0,525.8223298,0
HUWE1-sg6,HUWE1,0,0,0,2.61216066,0,0
UCHL5-sg5,UCHL5,909.2123263,739.9067046,66.02774495,774.0702756,0,261.5024577
SP100-sg3,SP100,182.9742648,353.8045949,515.1471586,111.4521882,441.3638209,0
EP400-sg10,EP400,237.677911,7.340344292,89.56238672,1.74144044,0,328.3984353
ZCWPW1-sg1,ZCWPW1,0,29.36137717,161.4737921,114.0643488,0,121.6290501
MCL1-sg2,MCL1,0,491.8030675,20.26594152,59.20897496,0,974.552764
SMARCD1-sg5,SMARCD1,77.33963772,905.7984856,47.06928353,33.95808858,692.0148796,582.2990774
sgCTRL_12,CTRL,697.9430721,431.6122444,141.8615906,1298.243848,1506.630821,0
IRF4-sg11,IRF4,1709.01736,113.0413021,143.1690707,336.9687251,8.17340409,0
PHF15-sg2,PHF15,16.97699365,823.5866295,16.99724127,0,302.4159513,0
ART1-sg11,ART1,331.9945424,102.7648201,0,0,0,0
TRIM13-sg8,TRIM13,173.5426017,0,131.4017499,0,0,0
TRIM5-sg7,TRIM5,60.36264407,107.1690267,194.8145346,49.63105254,79.00957287,68.41634068
UBE2I-sg2,UBE2I,0,0,26.80334201,1.74144044,2.72446803,225.0137427
DTX3L-sg13,DTX3L,152.7929428,393.442454,561.5627021,91.4256231,0,0
MAGI1-sg7,MAGI1,315.0175488,340.5919751,122.2493892,0,0,0
ZSCAN21-sg5,ZSCAN21,1559.997083,1390.261209,1831.779617,0,318.7627595,177.8824858
USP34-sg11,USP34,1805.220324,64.59502977,0,0.87072022,0,59.29416193
DPY30-sg7,DPY30,1154.435568,107.1690267,2.614960196,388.3412181,0,506.2809211
HDAC8-sg5,HDAC8,580.9904492,500.6114807,449.7731537,0,266.997867,0
SMNDC1-sg8,SMNDC1,754.5330509,305.3583225,540.6430205,0,0,0
AEBP2-sg3,AEBP2,122.6116208,230.4868108,0,1523.760385,414.1191406,3.040726253
PARG-sg30,PARG,0,42.57399689,15.03602113,7.83648198,193.4372301,1.520363126
LIN28A-sg6,LIN28A,1311.001176,0,0,0,7805.600906,582.2990774
NOC2L-sg8,NOC2L,0,0,0,0,0,0
PCMT1-sg3,PCMT1,109.4072924,1128.944952,95.44604716,0.87072022,0,1188.923965
ERG-sg12,ERG,899.7806632,111.5732332,0,0,0,0
PRDM8-sg6,PRDM8,0,0,0,97.52066464,291.5180792,518.4438261
CBX2-sg2,CBX2,5.658997882,284.8053585,91.52360686,663.4888076,296.9670153,1.520363126
CSNK2A1-sg12,CSNK2A1,416.8795106,120.3816464,213.119256,0,1569.293585,401.3758654
EED-sg4,EED,631.9214301,132.1261973,60.14408451,95.7792242,0,0
TDRKH-sg5,TDRKH,439.5155022,703.2049831,176.5098132,0,204.3351023,1423.059886
FKBP2-sg6,FKBP2,181.0879322,0,99.36848745,0,7020.954114,0
HDAC8-sg12,HDAC8,1229.888873,682.6520191,67.33522505,4317.030851,425.0170127,1482.354048
UHRF2-sg11,UHRF2,124.4979534,160.0195056,141.8615906,1227.71551,0,0
MBD3-sg7,MBD3,130.1569513,19.08489516,170.6261528,0,0,1.520363126
BRWD3-sg7,BRWD3,516.8551399,85.14799378,207.8893356,471.059639,452.261693,167.2399439
ALKBH2-sg3,ALKBH2,98.08929662,49.91434118,26.80334201,0,149.8457417,4941.180161
ZHX2-sg9,ZHX2,556.468125,256.9120502,145.1302909,133.2201937,0,214.3712008
DPY30-sg4,DPY30,222.58725,0,0,134.0909139,5361.753083,2377.84793
SHPRH-sg10,SHPRH,0,0,0,0,0,109.4661451
PSIP1-sg10,PSIP1,296.1542225,60.19082319,12.42106093,0,844.5850893,0
KDM4D-sg9,KDM4D,1731.653352,2463.419544,1665.729645,37.44096946,3819.704178,931.9825964
JMJD8-sg9,JMJD8,1086.527593,468.3139658,6.53740049,68.78689738,0,4653.83153
BCL2-sg4,BCL2,67.90797458,999.7548925,60.79782456,123.6422712,354.1808439,238.6970108
TCF20-sg8,TCF20,1.886332627,110.1051644,29.41830221,0,0,0
PHF19-sg6,PHF19,243.3369089,190.8489516,0,0,907.247854,297.9911728
KDM4A-sg10,KDM4A,282.9498941,1240.518185,126.8255695,0,2.72446803,100.3439663
TAF3-sg1,TAF3,158.4519407,0,96.75352725,375.2804148,310.5893554,167.2399439
USP34-sg5,USP34,647.0120912,110.1051644,651.1250888,755.7851509,572.1382863,3.040726253
FBXW9-sg5,FBXW9,505.5371441,265.7204634,93.48482701,3426.284066,6538.723272,0
SETD8-sg3,SETD8,0,236.3590862,0,426.6529078,0,0
MSL3-sg9,MSL3,0,0,0,0,0,0
PBX1-sg5,PBX1,654.5574217,723.7579472,791.0254593,297.7863152,3514.563759,542.7696361
PRMT6-sg8,PRMT6,0,0,26.14960196,98.39138486,0,1198.046144
SUPT7L-sg8,SUPT7L,984.6656314,2729.140008,1200.92047,235.9651796,231.5797826,97.30324008
HNRNPA0-sg1,HNRNPA0,203.7239237,36.70172146,149.7064712,1528.984706,122.6010614,241.7377371
CDK5-sg5,CDK5,335.7672077,519.6963759,3194.17388,124.5129915,4321.006296,416.5794966
JAK2-sg3,JAK2,1041.25561,1079.030611,404.0113503,0,0,0
PAG1-sg3,PAG1,24.52232415,120.3816464,82.37124618,284.7255119,0,183.9639383
PHF15-sg13,PHF15,356.5168666,251.0397748,188.9308742,0,3015.986109,544.2899992
TIPARP-sg8,TIPARP,252.7685721,0,68.64270515,0,0,0
L3MBTL1-sg4,L3MBTL1,37.72665255,102.7648201,277.8395208,0,1032.573383,0
MGMT-sg1,MGMT,239.5642437,198.1892959,692.3107119,444.0673122,0,208.2897483
PHF8-sg8,PHF8,0,176.168263,0,210.7142932,0,0
SIAH2-sg1,SIAH2,105.6346271,211.4019156,278.4932609,101.8742657,201.6106342,199.1675695
EZH2-sg8,EZH2,524.4004704,482.9946544,1189.806889,407.497063,138.9478695,3504.437006
SCMH1-sg7,SCMH1,0,364.0810769,81.06376608,87.94274222,0,0
CDK5-sg3,CDK5,1363.81849,1203.816464,100.6759675,47.01889188,2.72446803,1.520363126
MLH1_3,MLH1,0,23.48910173,107.8671081,0,0,0
ADPRH-sg12,ADPRH,107.5209598,384.6340409,243.8450383,532.8807746,1176.970189,820.9960882
ATF2-sg9,ATF2,562.1271229,1264.007287,358.9032869,675.6788907,0,3.040726253
COMMD3-BMI1-sg8,COMMD3,433.8565043,146.8068858,497.4961773,121.0301106,0,238.6970108
sgCTRL_30,CTRL,0,0,0.653740049,0,0,0
BAP1-sg1,BAP1,77.33963772,0,84.33246632,1852.021908,6353.459446,47.13125692
PHC2-sg2,PHC2,731.8970594,562.2703727,143.1690707,397.0484203,741.0553042,164.1992176
SETMAR-sg1,SETMAR,241.4505763,0,0,52.2432132,0,819.4757251
PRKCD-sg4,PRKCD,528.1731356,1155.370192,1701.031608,2114.979414,446.8127569,1126.589077
PHF15-sg9,PHF15,60.36264407,121.8497152,574.6375031,50.50177276,0,0
PARP9-sg13,PARP9,118.8389555,73.40344292,22.88090172,0,0,389.2129603
EHMT2-sg13,EHMT2,15.09066102,303.8902537,825.6736819,1084.917394,0,0
SMARCC2-sg10,SMARCC2,1.886332627,33.76558374,137.2854103,0,370.5276521,541.249273
sgCTRL_318,CTRL,152.7929428,308.2944603,283.0694412,0,425.0170127,4.561089379
HDAC9-sg6,HDAC9,220.7009174,187.9128139,55.56790417,37.44096946,1375.856355,0
UBR5-sg7,UBR5,235.7915784,173.2321253,526.2607395,0,0,0
TAF3-sg9,TAF3,339.5398729,66.06309863,53.60668402,0,937.2170024,372.488966
MAGI1-sg11,MAGI1,422.5385085,1177.391224,151.0139513,847.210774,0,25.84617315
SMARCAD1-sg5,SMARCAD1,75.45330509,41.10592803,89.56238672,0,0,0
SIK1-sg2,SIK1,982.7792988,546.1216153,200.044455,2742.768693,125.3255294,1143.313071
MAP3K12-sg6,MAP3K12,367.8348623,1065.817991,73.87262554,1694.421548,809.1670049,0
PKN1-sg4,PKN1,256.5412373,405.1870049,815.2138411,390.9533788,0,0
KDM5A-sg10,KDM5A,39.61298517,0,15.68976118,0,288.7936112,0
