GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
ACAD8,-0.4008626,0.7521,-0.0050724,0.4992026,0.4069367,-0.6442549,-0.7727214,-0.6508725
ACAD9,-1.9569046,-1.2195145,-1.8285871,-2.4243191,-0.1271168,2.3660027,-0.0478367,-0.4525737
ACADL,1.3979572,-0.4722764,0.2464277,0.1315068,0.4462755,-2.2317516,0.8784281,-0.2071653
ACADM,1.5456309,1.237336,0.7360304,0.4682248,-0.6514694,-0.2143948,0.9929966,-0.042104
ACADS,0.1681299,0.2294878,-0.1085383,0.1639787,-0.6753515,-1.7842067,-1.3234704,0.6933532
ACADSB,-0.1808843,-0.3245989,-0.131688499999999,-0.3095748,-0.0729119,-0.7145006,1.4640884,-0.9337477
ACADVL,0.7296689,-0.2235741,-0.5569555,-0.8839539,-0.6331566,0.2179551,-0.5676155,-2.0189969
ACAN,-0.8133099,-0.779321,-0.5414002,0.1265619,-0.643504,-1.3538932,0.0036177,0.0021657
ACAP1,0.3104537,0.3847777,-0.0159714,-0.4722598,-0.6883051,-1.9465428,-0.5323918,-0.6243573
ACAP2,1.4778595,-1.1310068,2.8888463,-0.2356642,0.7319188,-0.8396976,0.9832855,-0.1933801
ACAP3,-1.2718516,-0.2081634,-0.8230146,-0.0866759,-1.0835745,1.4299007,0.6053128,0.3697951
ACAT1,-2.2675848,0.6751581,1.2442222,0.9332778,0.4557804,-0.1861821,0.0980595,-0.447408
ACAT2,-0.0392531,-0.2729768,-1.2280569,-0.7764656,-3.1728796,-0.0504651,-1.7683547,0.2345523
ACBD3,-0.1922015,2.03483,-1.3267412,-1.5928483,-0.2204018,1.505845,1.5197876,0.8426586
ACBD4,0.9732045,-0.6010323,-1.0350506,1.7427106,-0.0672721,-1.7297697,0.8280073,-2.4045368
ACBD5,-1.20035,2.1345981,0.369869,-0.398282099999999,-1.0039648,0.0606983,0.8483049,1.2242252
ACBD6,0.0805506,0.3031099,-0.0337393,2.011662,0.5475151,0.8403998,-0.7310854,-1.3519515
ACBD7,-0.9715768,3.2958262,-2.5661156,1.8160513,0.1778763,0.5103697,,-0.8185306
ACCS,0.289414,0.6688634,1.3001511,1.0403491,0.7872636,-0.5538583,0.2266128,-0.4189083
ACCSL,-0.7014979,1.2497734,1.6291023,-0.1682952,-0.9231866,-0.2243016,-1.2284084,0.7088055
ACD,-0.9046633,-0.6121627,-0.5686643,0.7091758,0.881509,-1.066434,0.7654875,0.3734341
ACE,1.0352514,0.3815579,-0.435435,0.4402405,0.7541271,-0.8516229,-1.6562157,-1.0097401
ACE2,0.9610032,-0.8080564,-0.0431861,0.2883036,1.0200923,0.2895562,0.7196417,-1.3473179
ACER1,0.0212864,-0.6794712,-1.9161734,-0.0673961,0.7465196,-0.4332185,-0.9371646,0.6765862
ACER2,0.3799272,-0.6171597,-1.1164141,-0.7712593,0.4162193,-0.7469502,,0.9505508
ACER3,-0.3920806,0.6287117,-0.02902,0.7282823,0.3954357,-0.7587533,0.7438277,-1.6275047
ACHE,1.1688816,3.3663264,0.2208539,0.7912689,0.3598046,1.1446179,1.2474612,0.3518403
ACIN1,2.3496791,-0.0883005,-0.5750319,0.4576453,-1.6540639,0.4164771,0.3284694,1.6261692
ACKR2,-0.3293439,1.3281487,0.5132439,0.4523797,1.3052026,0.6713579,,0.3997685
ACKR3,0.3871234,0.6261001,-0.3627365,0.5262214,-0.1780818,1.0274618,,0.1184643
ACKR4,2.0186026,0.3331009,2.1522119,-0.9561475,0.8041747,-0.0062925,,-0.4484765
ACLY,-0.6737401,-0.9148846,-0.8620964,-0.271818,-2.0812289,0.0231751,1.0649982,-0.6724675
ACMSD,0.3022577,0.1351586,-1.0029525,-0.1091913,0.8454198,1.0376974,0.3666978,-0.2555949
ACN9,-0.0718391,0.8134688,1.1985633,-0.7056699,-0.810393,-2.1314887,-0.7705906,
ACO1,0.8454487,0.2849013,0.6652624,-0.4340525,0.4591713,-1.1871688,-0.1459828,0.5015705
ACO2,-0.0226713,-2.8647103,-0.02902,1.5019357,-0.2811609,-0.1479282,1.4438941,-0.9315437
ACOT1,0.8063642,0.4152025,0.0334649,-0.2665683,-0.4675024,,,0.2324227
ACOT11,0.2020113,-0.0811004,1.4488726,-1.2133853,1.28548,0.3452293,0.5999091,1.1935573
ACOT12,1.4371864,-1.4588828,-1.3749617,0.3489637,-0.4778773,-0.7929842,-0.353941,1.0143225
ACOT13,-0.2635011,3.1394954,0.3804879,0.0137922,1.0483358,-1.2668842,0.4034314,-0.6843869
ACOT2,0.6843881,-0.7576815,-0.3703245,0.6102434,-0.0082185,0.0431043,,-0.447408
ACOT4,0.1828826,1.0782177,0.8323762,1.4547434,1.5904756,0.9296375,,-1.1127729
ACOT6,-0.3523817,-0.3262401,0.2954819,-0.2363744,0.5919841,-1.4146924,,0.3273207
ACOT7,1.2331994,-0.0537337,1.0280968,0.9482447,1.9251162,0.6889035,0.01363,1.1225707
ACOT8,0.2715638,0.1634194,-0.2525924,0.9047552,-0.0844108,0.2531081,1.252999,0.123419
ACOT9,1.0465564,0.2765723,0.4991908,-0.4409317,1.2685,0.2811473,0.0484605,-0.4663984
ACOX1,1.2013353,0.2883423,1.9109217,0.9654888,0.2163952,-0.1667895,1.1355738,0.507832
ACOX2,0.6887889,-0.419883,0.3507424,0.4628973,0.3078829,-1.28176,0.6343997,0.189548
ACOX3,0.2630563,-0.8708162,-0.0711609,0.3085656,0.3978187,1.4814134,-0.568356,-0.166789
ACOXL,0.8913517,0.3973608,1.3741784,-0.3539363,-0.7360572,-0.2143948,1.7331101,0.4475088
ACP1,0.1452275,-0.8328716,0.4244568,-2.4101932,-2.7988314,-0.2243016,,1.1037418
ACP2,0.5463785,0.2459014,0.6556541,-0.4860295,1.602142,1.1323597,-0.9758127,0.2267799
ACP5,0.6586824,0.2659853,-1.094993,-0.0037305,-0.0857022,0.9706638,-1.6510534,1.4422066
ACP6,0.5858281,1.5325871,0.8728911,1.4306603,0.1464869,1.0163188,0.754853,-0.217989
ACPL2,0.8284222,1.038407,-0.1333118,-0.6981958,-0.437129,1.091073,-1.1790491,
ACPP,-0.3599258,-0.8740753,-1.0579419,-1.6313725,1.2581721,-1.8457229,-0.9010556,0.0404319
ACPT,0.4180846,-0.1573828,-0.0465384,-0.9743178,-1.1902836,1.4299007,-0.5741527,
ACR,-0.7449597,-1.5180531,-0.6981181,-0.4674422,0.3763148,0.1178772,0.7018339,-1.0970542
ACRBP,1.2006314,1.1019734,0.540889,-0.140374,0.1657147,-0.1479282,-0.1193468,0.136348
ACRC,1.1333153,-0.1401581,-1.2164803,0.9110566,1.2615356,0.3171764,1.2186056,
ACRV1,1.1084964,0.8950255,-0.2386691,-0.3054596,0.1617235,-0.0330265,,0.3234565
ACSBG1,0.4394684,0.45494,0.5635978,-0.3361544,0.1970241,1.2236238,2.0981455,1.6096926
