,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
SGK223,0.15906,0.33775,-0.54565,-0.16217,0.17502,0.55464,0.045031,0.17307,-0.11211,0.043551,0.24188,0.0072242
SGK494,0.39111,0.15825,0.23121,0.51219,0.10997,-0.21365,0.049802,-0.18643,-0.1681,-0.032904,0.001294,0.12036
SGMS1,0.179,0.53444,-0.045422,0.62473,0.013482,-0.25382,-0.032662,-0.037122,-0.14679,-0.034535,-0.041636,0.15173
SGMS2,0.13849,0.10679,-0.42362,-0.17884,0.76316,0.30067,0.087622,-0.16342,-0.35575,-0.014309,-0.19309,-0.55085
SGOL2,0.0028365,0.14455,0.25624,0.29466,0.15636,0.62306,-0.060762,0.1892,0.026305,-0.0043423,-0.061957,0.10214
SGPL1,-0.1858,0.058863,0.31331,-0.034145,0.055394,0.1917,-0.0060719,0.065727,-0.059079,0.11916,-0.097169,0.089568
SGPP1,0.087642,0.12825,0.02224,0.072314,-0.28704,-0.58704,0.045781,-0.029095,0.013165,0.068797,0.012318,0.275
SGPP2,-0.19126,0.088067,0.068526,-0.27193,0.050263,0.36416,0.052966,0.055085,0.072959,0.0094322,0.0033434,-0.13965
SGSH,0.0034575,0.12699,-0.24192,0.80178,0.25698,-0.19034,0.076265,0.21792,0.36537,0.11995,0.22007,0.36844
SGSM1,-0.1658,0.19908,0.1617,0.038346,0.34432,0.072319,-0.31991,-0.1118,-0.23666,-0.0053298,0.013965,0.065453
SGSM2,-0.046715,-0.030038,-0.05568,0.33368,0.071728,0.032159,0.047237,-0.12044,0.028787,0.08181,0.1416,-0.10337
SGSM3,0.089415,0.072151,0.34055,-0.012912,-0.21164,0.46577,0.0022772,-0.1183,-0.27106,-0.10306,0.013416,-0.17278
SGTA,-0.16511,0.33703,-0.098872,0.41969,0.37733,-0.61175,0.12378,0.16928,0.39914,0.08756800000000001,0.059817,-0.51795
SGTB,0.07371,0.1386,-0.041826,0.055571,0.06486,0.3212,0.10708,0.0046949,-0.010096,0.21691,-0.033591,0.055024
SH2B1,-0.015664,-0.16017,-0.35545,0.047417,-0.43709,0.26506,-0.071752,-0.077989,-0.056969,9.1311e-05,0.30395,0.067349
SH2B2,0.25153,0.059509,-0.11502,0.21659,0.086202,0.25847,0.02948,0.053504,0.20803,0.16819,0.10576,0.29627
SH2B3,0.11689,-0.042234,0.10397,0.092455,-0.076137,0.039731,-0.033469,-0.15639,0.13959,-0.12765,-0.039071,0.055403
SH2D1A,0.017751,0.0067684,0.15178,0.18215,0.2295,0.30235,-0.099604,0.13122,0.067301,-0.0069134,0.011415,0.083644
SH2D1B,-0.14938,0.015857,0.27037,0.061924,-0.12507,-0.4804,-0.15048,0.15574,0.1571,-0.1475,0.10025,0.035091
SH2D2A,-0.08165,0.21131,-0.066019,0.39418,0.41606,0.093207,-0.037435,0.1512,0.084217,0.040559,0.10967,0.25387
SH2D3A,0.18172,0.22318,0.047921,0.043781,-0.032074,0.09464,-0.13336,-0.031911,-0.059956,-0.09622,-0.022929,-0.09847
SH2D3C,-0.0587,0.048881,0.41402,0.01278,-0.0038643,0.18545,-0.033485,-0.04332,0.15398,0.091204,-0.11751,-0.047275
SH2D4A,0.012337,0.05644,0.018232,0.35252,-0.022896,-0.46752,-0.14761,-0.20911,-0.33862,0.016689,-0.27164,-0.33568
SH2D4B,0.09163,0.1913,0.30884,0.32487,-0.13958,0.12991,0.0018579,-0.03325,-0.078902,0.12641,0.095923,-0.095682
SH2D5,-0.1107,0.22319,0.073289,0.47075,0.11349,-0.45523,0.019612,0.10671,0.2157,0.017322,0.066641,-0.032155
SH2D6,-0.043044,-0.13162,-0.15282,0.16296,-0.059149,-0.85647,0.056792,-0.084603,0.2607,-0.18918,0.044105,-0.038723
SH2D7,-0.0029662,0.37493,0.36336,0.056614,-0.024489,-0.1926,0.049342,0.093501,0.23049,0.11728,0.12157,-0.13303
SH3BGR,-0.27389,-0.12837,-0.098851,-0.10764,-0.16056,-0.98616,0.24357,-0.060378,-0.14294,0.10666,-0.12236,0.10234
SH3BGRL,-0.08227,0.067876,-0.25883,0.022405,0.023071,-0.19444,0.1217,0.11966,0.23149,0.24213,0.15434,-0.11525
SH3BGRL2,-0.084233,-0.24825,-0.41765,0.45541,-0.073897,-0.20129,0.16081,-0.030314,0.56076,0.1469,-0.1403,0.22094
SH3BGRL3,0.00056684,-0.2728,0.23122,0.14474,-0.33806,-0.097991,-0.090103,-0.047741,-0.0049035,0.053521,-0.00097025,-0.042684
SH3BP1,0.24696,0.54057,-0.083385,0.38704,0.066665,-0.087914,0.11975,-0.30194,-0.12005,0.086301,-0.10793,-0.068862
SH3BP2,-0.14302,-0.40679,-0.3514,0.42499,0.13394,-0.23318,-0.10919,0.095055,-0.075155,-0.016534,0.0078529,0.12921
SH3BP4,0.19261,0.32563,0.65906,0.48329,-0.38863,0.025667,-0.16985,0.12514,-0.19484,-0.029583,0.15882,-0.21972
SH3BP5,-0.037931,-0.2293,-0.031828,0.063984,-0.29894,-0.12592,0.056998,0.06788,-0.13107,0.034021,-0.14468,-0.030257
SH3BP5L,0.2648,0.35825,0.30467,0.30949,-0.28764,-0.23632,-0.17199,-0.025143,-0.14157,-0.068072,-0.1966,-0.11366
SH3D19,0.19536,-0.30128,0.041539,0.12604,-0.081956,-0.017043,0.11608,-0.11285,0.03596,0.10383,-0.085971,0.057089
SH3D21,-0.8119,-0.24059,-0.29694,-0.021008,-0.80764,0.43109,0.078093,0.072225,-0.28798,0.25571,-0.44787,-0.35775
SH3GL1,0.019832,-0.12536,-0.38127,-0.0022147,0.31618,0.12355,0.067861,0.08909,0.13207,-0.075096,-0.14418,0.0017274
SH3GL2,0.12026,-0.19228,-0.16582,0.11913,0.63381,0.098099,0.01371,0.2047,0.12775,0.027231,0.29049,0.090115
SH3GL3,0.015231,-0.11792,0.063676,0.030336,-0.031374,0.64361,0.079815,0.15717,-0.23096,0.030546,0.15639,-0.23085
SH3GLB1,0.074039,0.37698,0.19358,0.14619,-0.087744,0.15204,0.13863,0.21748,0.2383,0.11851,0.0024288,0.21628
SH3GLB2,-0.069782,0.13416,0.03607,0.37874,0.056822,0.14808,0.016535,-0.27773,-0.065694,-0.1193,-0.087701,0.18828
SH3KBP1,0.28749,-0.083792,0.28041,0.33271,0.026604,0.089927,0.014481,0.16831,0.011128,-0.027433,0.080992,0.00027152
SH3PXD2A,0.17542,0.11752,0.085854,0.16482,-0.0097155,0.032333,0.10647,-0.056929,0.083447,0.13524,0.044832,0.11805
SH3PXD2B,0.11678,0.47531,0.12552,0.015515,0.19393,-0.4158,-0.17997,0.1871,-0.17061,0.021969,0.13226,-0.24479
SH3RF1,-0.00017032,0.12875,-0.36103,0.28621,0.26628,-0.011353,-0.085535,-0.016096,-0.054735,0.10407,0.099386,-0.085544
SH3RF2,0.016847,-0.13357,-0.20077,0.24008,-0.075599,0.23961,-0.044169,-0.16982,-0.14996,0.16747,-0.19722,-0.2604
SH3RF3,0.0023461,0.25504,0.46635,0.26993,-0.084219,0.064575,0.019697,-0.25262,0.02152,0.079457,-0.00097115,0.1146
SH3TC1,-0.054206,0.29649,0.084051,0.20202,-0.28865,0.29954,0.018133,0.08879,0.2105,0.19267,0.085579,0.30597
SH3TC2,0.1983,-0.063552,0.43988,0.061509,-0.0031721,0.33453,0.07843,-0.025771,0.10188,0.11227,0.075643,-0.0084339
SH3YL1,-0.29906,0.10002,-0.093923,0.51315,0.089913,0.096349,-0.053561,-0.015469,-0.040943,0.043599,0.12728,0.096366
SHANK1,0.0053096,-0.059728,0.1959,0.58787,0.31883,-0.074045,-0.13182,0.037075,-0.18349,0.069129,-0.03886,0.07855
SHANK2,0.19902,-0.23202,0.27246,0.094224,0.38484,-0.3706,0.11138,-0.096949,-0.0044489,-0.083801,-0.040423,-0.14837
SHANK3,0.029136,0.25174,0.012492,0.30878,-0.27907,-0.54868,-0.049634,0.090927,0.059976,-0.05739,-0.014668,0.17104
SHARPIN,-0.2683,-0.30764,0.41756,0.31937,-0.085784,-0.26631,0.080874,-0.15821,0.027244,-0.056818,-0.2497,-0.1426
SHB,0.031826,-0.15307,0.11858,0.20031,-0.28717,-0.44842,-0.03933,-0.04891,0.051377,0.088486,0.12696,0.060785
SHBG,-0.46648,0.010867,-0.49737,0.46487,-0.30477,0.07392,-0.00059316,0.0036793,-0.070995,-0.30777,-0.24521,0.014365
SHC1,0.53206,-0.46818,0.37281,0.25487,0.10276,0.011377,0.038586,-0.041674,-0.17785,0.096832,-0.07593,-0.048438
SHC2,-0.093336,-0.084177,0.6232,0.43656,0.31511,-0.41034,-0.044667,0.070091,0.27593,-0.041726,0.0016129,0.16441
SHC3,-0.19064,0.17411,-0.10122,0.11364,-0.20943,-0.097663,-0.013027,-0.04054,-0.11142,-0.17453,0.030367,-0.056539
SHC4,-0.073006,-0.11874,-0.18252,0.24589,0.32207,0.25126,-0.063584,-0.14766,-0.12541,-0.028182,-0.013424,-0.13797
SHCBP1,0.0785,-0.1105,0.36003,-0.067919,0.88768,-0.36514,0.11605,-0.16791,-0.064999,-0.19177,-0.20288,-0.23253
SHCBP1L,0.33416,-0.015043,0.10654,0.07377,0.24011,0.041734,-0.032632,-0.10716,0.018925,0.14342,-0.14697,-0.22664
SHD,0.20491,0.64602,0.49188,-0.079517,-0.2773,0.65701,0.1642,0.010547,0.0415,0.047201,-0.078312,-0.090671
SHE,0.22498,0.41511,0.39852,0.35628,0.0030107,0.1857,0.12494,-0.031477,0.08744,-0.13221,0.0024372,-0.033722
SHF,-0.27373,0.12572,0.1617,0.49678,-0.10698,0.42952,0.14593,0.092166,0.0064872,-0.017098,-0.15001,-0.17144
SHFM1,0.3545,0.38498,0.022091,0.17741,0.28898,0.025933,0.13301,-0.051604,0.082663,0.064967,0.10441,0.22405
SHH,0.2,0.36993,0.49793,0.24022,0.38173,0.17114,0.077537,-0.04711,-0.0059775,0.03207,-0.014679,-0.11439
SHISA2,0.23751,-0.50181,-0.14114,0.062026,-0.10899,-0.31542,-0.03273,0.28248,0.092359,-0.071087,-0.12435,-0.2281
SHISA3,0.050483,0.36494,-0.32176,0.0010499,-0.15025,-0.33411,-0.080578,-0.076486,-0.25648,-0.096227,0.033647,-0.072729
SHISA4,-0.10851,0.28224,-0.26693,0.56864,0.0963,-0.13424,-0.058216,-0.12104,-0.31663,0.16716,-0.11693,-0.19635
SHISA5,-0.095061,-0.069379,-0.14149,0.14675,-0.027147,-0.010621,0.21773,0.17408,0.21282,0.15852,0.21078,0.1636
SHISA6,-0.4941,-0.13457,-0.49066,0.17427,0.50324,0.17625,0.16763,0.21496,0.056109,-0.028432,0.029392,0.1188
SHISA7,0.0041944,0.18561,-0.31488,0.23587,-0.54221,-0.40479,-0.094272,-0.069925,-0.0025335,0.041631,0.017993,0.077067
SHISA8,0.043397,0.027352,0.45183,-0.090191,0.23154,-0.099409,-0.088239,-0.045911,0.029414,-0.14054,-0.034999,-0.042273
SHISA9,0.10244,0.16495,0.37517,0.31912,0.00043259,-0.25943,-0.084018,-0.036863,-0.042322,-0.004199,0.17691,0.070229
SHKBP1,0.215,0.28044,0.21748,0.59028,0.13166,0.54972,0.037428,-0.046865,0.0088536,-0.030559,0.052863,0.087488
SHMT1,0.034045,0.23245,0.27375,0.31837,0.69825,0.29968,0.29412,-0.016734,-0.044948,0.20219,-0.049938,0.24829
SHMT2,-0.017556,-0.30213,-0.0487,-0.19161,0.29877,0.79313,0.079256,-0.18406,-0.35025,-0.017477,-0.0053629,-0.1257
SHOC2,0.09554,0.16853,0.35634,-0.17056,0.17127,0.066876,-0.03016,-0.31385,-0.10846,0.076587,-0.021124,-0.0028613
SHOX,-0.020129,0.2629,-0.086893,-0.027871,0.5085,0.090607,-0.09804,0.011204,-0.094142,0.021463,0.041371,-0.08398
SHOX2,-0.11701,0.5492,1.2828,0.31729,-0.55255,0.57247,0.16954,-0.18124,-0.064623,-0.14111,-0.332,-0.2028
SHPK,0.056569,0.25177,0.21289,0.37252,-0.21735,-0.11445,-0.06694,0.085308,-0.00010426,-0.10605,-0.049966,-0.1786
SHPRH,-0.22949,0.14848,-0.10681,-0.13596,0.14864,0.43312,0.010464,-0.17502,-0.14047,-0.0025331,-0.03275,-0.13574
SHQ1,0.45131,0.13049,1.1935,0.64651,0.39887,-0.5576,-0.18162,-0.075506,0.18278,-0.030234,0.0016504,0.20956
SHROOM1,0.20309,0.23424,0.42827,0.34988,0.011208,0.52362,0.22576,-0.15206,0.11771,0.26669,0.040784,0.052196
SHROOM2,-0.24184,0.40869,0.042826,0.30662,-0.36098,-0.91072,0.08723,-0.079054,-0.2622,0.14228,0.10826,-0.080371
SHROOM3,-0.24501,0.20628,-0.21517,0.058273,-0.24005,0.69928,-0.16624,0.055027,-0.018949,-0.094551,0.16453,-0.07712
SHROOM4,-0.035645,0.059781,0.60396,0.40196,0.12952,-0.18039,0.097405,0.05049,0.058562,0.15215,0.24927,0.35856
SI,0.042568,-0.047821,0.64537,-0.074444,0.57659,0.45408,0.014513,-0.050738,-0.0060025,-0.047262,0.060447,0.22071
SIAE,-0.092891,-0.24986,-0.035609,0.1226,0.14814,0.049178,-0.0075214,0.29326,0.12049,0.0188,0.261,0.27156
SIAH1,-0.022203,-0.010052,-0.52909,0.28853,-0.14714,-0.061287,-0.029017,0.00016482,-0.0069111,0.28677,0.29469,-0.18901
SIAH2,0.090017,-0.07461,-0.049842,0.12775,0.10609,-0.41632,-0.078034,-0.016553,0.029486,-0.12386,-0.16516,-0.13341
SIAH3,-0.022695,-0.27631,-0.14807,-0.19311,0.010982,0.14376,0.089717,-0.0023671,0.0051419,0.030518,-0.25137,-0.014687
SIDT1,-0.50724,0.27496,0.26924,-0.033252,0.11211,-0.3255,0.037111,0.096958,-0.36964,0.28511,0.10204,-0.2061
SIDT2,-0.26422,0.43096,-0.095083,-0.069017,0.040126,0.031734,0.024586,0.16607,0.22312,0.085386,0.15366,0.4941
SIGIRR,0.19865,0.11568,0.35082,0.47118,-0.33206,-0.083242,0.024951,0.029968,-0.034227,0.096412,0.023381,0.1354
SIGLEC1,0.099514,-0.64018,-0.0078109,0.19176,0.58089,-0.14997,0.2165,-0.081897,0.13047,0.10642,0.048382,-0.29683
SIGLEC5,0.1407,0.66434,-0.049986,0.09366,0.31251,-0.018066,0.06509,-0.14718,-0.31238,0.12181,0.0086191,-0.17967
SIGLEC6,0.097086,0.16368,0.062975,0.21764,0.14723,0.54373,-0.07194,0.063018,-0.059723,0.078272,0.26226,-0.11562
SIGLEC7,0.090813,-0.07759,0.1639,0.41074,-0.027069,0.31107,-0.038948,0.065679,0.31785,-0.052685,0.0072893,0.059675
SIGLEC8,0.0042954,0.28152,0.18169,0.53262,0.33616,0.42071,0.025993,0.032761,-0.086864,-0.086315,0.1229,-0.076904
SIGLEC9,0.26142,0.48647,0.66262,0.70175,-0.13252,0.50041,-0.17233,-0.12125,-0.40374,-0.20954,-0.03103,-0.35182
SIGLEC10,0.28731,-0.087303,0.28647,0.25865,-0.51464,0.074178,-0.095456,-0.2123,-0.20465,-0.35313,-0.0010233,-0.18173
SIGLEC11,-0.053239,-0.19825,-0.2412,0.37299,-0.18726,0.11674,-0.10441,0.17033,-0.038303,0.067703,0.21603,0.11567
SIGLEC12,-0.036971,0.65782,0.27367,0.32071,-0.014878,-0.01653,0.038525,-0.1259,-0.093237,-0.058547,-0.09538,-0.24087
SIGLEC14,-0.22229,0.27129,0.18709,0.63348,0.63622,0.15202,0.11349,0.15281,-0.084304,-0.022188,-0.054949,-0.18125
SIGLEC15,0.050872,0.19685,-0.16648,-0.058406,0.56597,0.3102,0.019594,0.31133,0.11156,0.052167,0.066539,0.22144
SIGLECL1,0.29585,0.26557,0.10286,0.28986,-0.11356,-0.63458,0.048413,0.13246,0.070596,0.12011,-0.12644,0.16933
SIGMAR1,0.19628,-0.11854,0.30112,0.26111,-0.061175,0.055439,0.10192,0.093739,-0.051551,0.049708,0.084302,-0.066181
SIK1,-0.18446,-0.73843,-0.35686,0.27959,-0.30573,-0.28246,0.014398,-0.48729,-0.20493,-0.18598,-0.34968,-0.2604
SIK2,0.32928,-0.26783,-0.0093365,0.13483,-0.15292,-0.15273,0.023809,0.0010916,0.0056162,0.14694,-0.038463,0.057071
SIK3,0.16356,-0.072321,0.24869,-0.17821,0.22557,-0.14358,-0.041594,-0.1276,-0.045526,-0.056472,-0.18992,-0.072395
SIKE1,-0.043905,-0.058286,-0.10844,0.39914,-0.084048,0.15233,0.052636,0.20924,0.017012,0.025773,0.24697,0.29338
SIL1,0.24921,-0.20312,0.35807,0.39731,0.47203,1.2529,-0.20672,-0.090374,-0.35013,0.068617,-0.091994,-0.27237
SIM1,-0.01476,-0.080946,0.12538,-0.088249,-0.35197,0.26858,0.090625,-0.18076,0.27369,-0.15789,-0.23433,0.042329
SIM2,0.046285,0.098632,0.10674,-0.073386,0.11291,-0.0083073,0.10739,0.35231,0.24401,-0.05121,0.19222,0.052785
SIMC1,-0.31834,-0.22352,-0.066117,-0.056708,-0.19247,-0.055613,0.077152,-0.096301,-0.15627,-0.018411,-0.2258,-0.23957
SIN3A,0.19893,0.28358,0.27749,0.74708,0.51922,0.30651,0.1542,0.2464,-0.14222,-0.0012884,-0.054648,-0.52282
SIN3B,0.28185,0.32643,0.26332,0.35489,0.043706,0.098143,0.00078005,-0.025682,0.090259,0.034465,-0.057154,0.082296
SIPA1,-0.11508,0.23499,0.010361,0.27831,0.14177,-0.69535,0.14005,-0.028855,0.3049,-0.12251,-0.27729,0.071661
SIPA1L1,0.11512,0.35172,0.35791,-0.013821,-0.11458,-0.042198,-0.017747,-0.17177,0.071123,-0.020013,-0.075301,-0.20739
SIPA1L2,0.088309,-0.039332,0.14023,0.051619,-0.35912,-0.29846,0.11113,-0.063633,0.045281,-0.077559,0.060388,-0.13335
SIPA1L3,0.20468,0.47624,0.1936,0.42363,0.30961,-0.18608,0.19898,0.045854,0.017428,0.016446,-0.049835,-0.27428
SIRPA,0.19064,0.055354,0.11105,0.36412,0.0069793,-0.093864,-0.080478,-0.0023308,0.064482,-0.059889,-0.015533,-0.079621
SIRPB1,-0.088761,-0.15737,-0.074545,0.39677,0.09877,-0.02586,-0.047899,-0.026767,-0.018722,-0.043178,-0.0485,-0.24261
SIRPB2,0.1787,-0.078228,0.14863,0.031761,0.010866,-0.16893,-0.044551,-0.19059,-0.12038,-0.09103,-0.14684,0.020946
SIRPD,0.13483,-0.12632,-0.4143,0.014388,0.23938,0.4328,-0.2764,-0.047671,-0.17682,-0.065031,-0.0050719,-0.10089
SIRPG,-0.13544,-0.33374,0.26617,0.214,0.13025,0.097817,0.033069,-0.030638,0.12712,0.10591,-0.087118,0.073144
SIRT1,0.12956,0.77486,0.76519,-0.18421,0.30338,0.11698,0.08293,0.17573,0.10907,-0.19682,0.080818,0.13549
SIRT2,0.0021453,0.17526,0.58747,0.37035,0.54475,-0.13802,-0.23931,-0.020953,0.17792,-0.025476,-0.21859,0.23742
SIRT3,-0.22764,-0.21464,0.39458,0.036403,0.074639,0.080594,0.15341,0.15779,0.053633,0.27182,0.089319,-0.2108
SIRT4,0.12815,-0.21546,-0.26653,-0.094668,0.29195,0.025923,0.042538,-0.063168,-0.15972,-0.0023456,-0.074856,-0.15378
SIRT5,0.40915,-0.099113,0.074277,0.47874,-0.031421,-0.022453,-0.16671,-0.10934,0.040334,-0.16172,-0.049811,-0.26665
SIRT6,0.31656,-0.28552,0.14848,0.2272,0.10192,-0.26101,-0.15567,-0.10144,0.1042,-0.013133,-0.11292,-0.059146
SIRT7,0.13958,-0.22764,-0.05425,0.22153,0.87149,0.28376,-0.057724,-0.018032,-0.05921,-0.01284,0.13877,0.026474
SIT1,0.27978,0.22061,0.054733,0.51896,0.19545,0.16864,-0.27799,-0.22653,-0.061069,-0.29091,0.046234,0.17885
SIVA1,-0.13565,0.36566,-0.0091823,0.34541,-0.11506,-0.15181,0.040992,-0.063999,0.056489,-0.093036,-0.031895,-0.3114
SIX1,0.054936,0.18874,0.12899,0.10673,0.074447,-0.14915,0.062149,0.16244,0.03671,0.075716,-0.050621,0.046698
SIX2,-0.21061,-0.013585,-0.062298,-0.23925,0.20931,-0.47523,0.2159,0.077613,0.021684,0.030762,-0.0087649,-0.13174
SIX3,0.20121,0.072446,-0.074424,0.23693,0.073618,-0.53377,-0.042162,0.076971,-0.19477,-0.11919,0.080916,0.028673
SIX4,-0.16158,-0.46492,0.43994,0.26207,0.6171,0.61133,0.025545,0.22751,0.073275,0.075419,0.25095,0.0073169
SIX5,0.49786,0.13614,-0.092549,0.42355,-0.29199,-0.3435,-0.036355,0.065912,0.099414,-0.355,0.061621,0.020581
SIX6,0.056813,-0.13432,-0.08246,0.12892,-0.051795,0.20884,0.25571,0.097191,0.31301,0.10627,-0.010374,0.21196
SKA1,0.10859,-0.14698,-0.047455,0.21873,-0.21611,0.062278,-0.015444,0.019714,0.15447,0.14152,0.075125,0.052114
SKA2,0.087154,0.94754,0.51313,0.56223,0.2101,0.32593,-0.045126,0.34573,0.36311,-0.074392,0.12705,0.51061
SKA3,0.12048,0.23252,0.4589,0.52442,0.34139,-0.21078,0.035048,0.054243,-0.17341,0.093067,-0.012391,-0.3799
SKAP1,0.13326,-0.40088,-0.22548,0.47102,0.19467,-0.013502,-0.11482,0.020722,0.22179,0.19057,0.086692,0.084957
SKAP2,0.15563,0.84143,0.35765,0.069983,0.161,-0.10589,0.08723,-0.086209,-0.19096,0.044629,0.059236,-0.045653
SKI,0.30961,0.076932,0.82107,0.023259,-0.076506,0.16116,-0.088505,-0.070582,-0.10163,-0.13686,-0.13027,-0.19849
SKIDA1,-0.12708,0.10284,0.0023404,0.19032,-0.49767,-0.62824,0.01362,0.15338,0.12277,0.085962,0.086998,0.10821
SKIL,-0.061593,0.2449,-0.19794,0.35603,-0.38972,0.37845,0.060942,0.16899,-0.25709,-0.17155,0.15023,-0.28682
SKIV2L,0.5163,-0.26623,0.23049,0.66914,-0.038193,0.332,0.093614,-0.089193,-0.47759,-0.084125,-0.44671,-0.34551
SKIV2L2,0.65452,0.24728,0.26997,1.1234,1.0969,0.39007,0.098584,-0.74996,0.044577,-0.020579,-0.23009,0.36302
SKOR1,0.071206,0.16319,0.14503,0.054704,-0.30773,0.31812,-0.071956,-0.1926,-0.14283,0.024948,-0.12783,-0.18312
SKOR2,-0.2102,-0.28864,-0.12694,0.24333,0.17021,0.29286,0.040197,-0.023617,-0.22197,-0.055306,-0.058578,-0.0048191
SKP1,-0.53805,0.69751,0.20015,0.9398,-0.30148,0.11439,0.015908,0.11373,0.029291,0.053752,-0.23199,-0.62844
SKP2,0.13246,0.093893,0.20424,0.51516,0.17984,-0.38891,-0.068533,0.16398,-0.01324,0.23916,-0.11818,-0.036785
SLA,-0.19135,-0.15115,-0.15003,0.19505,1.0607,-0.89867,0.0147,0.067927,-0.091906,0.1972,-0.076048,0.061419
SLA2,-0.01861,-0.040813,0.12335,0.16185,0.39567,-0.46518,0.01041,-0.062624,-0.08106,0.14353,0.14971,0.09726
SLAIN1,0.38394,0.36039,0.27973,0.27452,0.32076,0.61174,0.24861,-0.29875,-0.11744,0.27683,-0.038603,-0.24256
SLAIN2,-0.13236,-0.20527,-0.46405,0.47846,-0.0051811,-0.33617,-0.15985,-0.078896,-0.052509,-0.17072,-0.11259,-0.19279
SLAMF1,-0.23974,-0.084236,0.10961,0.12109,0.091531,-0.008663,-0.019004,-0.026621,-0.045653,-0.058062,-0.14726,-0.049594
SLAMF6,-0.2982,-0.26,-0.59232,0.23138,0.4386,0.091263,-0.095987,-0.20641,-0.12905,-0.066884,-0.098884,-0.29276
SLAMF7,0.22003,-0.084378,0.095505,0.016331,-0.25346,0.19102,-0.045516,-0.12959,0.10752,-0.041922,-0.12578,-0.0076889
SLAMF8,0.080788,0.2933,-0.43856,-0.055673,-0.16728,0.31821,-0.14599,-0.1536,0.085486,-0.16579,-0.16201,-0.080293
SLAMF9,0.070522,-0.047588,-0.55661,0.44106,0.12232,-0.029259,0.070331,0.014245,-0.13486,0.015289,-0.052266,-0.019797
SLBP,-0.37495,0.33357,-0.01126,-0.2756,-0.099593,-0.058237,-0.024374,-0.13155,0.21842,-0.44539,-0.012164,0.11146
SLC1A1,0.09332,0.49051,0.18606,-0.14179,0.23644,-0.93593,0.051499,0.077515,0.18547,0.070978,-0.15377,0.13851
SLC1A2,-0.12413,0.088464,0.3708,0.42576,-0.42596,0.069968,0.059714,-0.020539,-0.020054,0.056802,0.090096,-0.057548
SLC1A3,-0.23773,0.118,0.11119,0.022531,-0.038872,-0.21117,0.0052333,-0.042744,-0.26406,-0.0081851,-0.34188,-0.47568
SLC1A4,0.0038105,0.040036,0.23593,0.10818,-0.091829,0.082513,0.064087,0.049228,-0.085165,0.092338,-0.088707,-0.25124
SLC1A5,0.15215,0.3897,0.20739,0.45075,0.75444,0.2116,0.13867,-0.04455,-0.06187,0.23913,-0.081266,-0.072317
SLC1A6,-0.030415,-0.013159,0.36205,0.20836,0.3949,0.56926,0.096862,0.17215,0.15711,0.037882,0.048356,-0.074929
SLC1A7,-0.2091,-0.37528,-0.10635,-0.087522,0.2016,0.11523,0.12856,-0.0015955,0.023177,0.099568,0.038178,0.048996
SLC2A1,0.10209,0.024428,0.16077,0.66284,0.2261,-0.31556,-0.0059921,0.087873,0.13345,0.12775,-0.094455,0.1173
SLC2A2,0.22577,0.37061,0.13755,0.017373,-0.30946,-0.068405,0.032759,-0.15607,-0.11102,0.12445,-0.066502,-0.13846
SLC2A3,0.0039093,0.22447,-0.12694,-0.099349,-0.29443,-0.11758,0.14065,0.052035,0.11609,0.12519,0.13796,0.06324
SLC2A4,-0.054765,-0.44377,-0.02394,0.34305,-0.16246,0.29465,-0.1049,0.00083837,-0.067284,0.23006,0.024296,-0.037919
SLC2A4RG,0.23305,0.1097,-0.34076,0.27252,-0.25703,0.081437,0.099562,0.087431,0.036174,-0.012952,-0.083494,-0.25584
SLC2A5,0.22467,-0.0025013,0.041914,0.081967,0.38809,0.1445,0.1519,0.080035,-0.077797,0.21669,-0.0077789,-0.11736
SLC2A6,0.21926,-0.40946,-0.12467,0.59391,0.41761,-0.024727,-0.19131,-0.090143,-0.10581,0.1764,-0.24618,-0.36399
SLC2A7,-0.074187,0.019961,0.21319,0.34258,0.11944,0.54633,-0.16502,-0.0010717,0.0061499,0.018779,-0.07245,0.096797
SLC2A8,-0.10939,0.054847,0.30268,0.39193,0.16688,0.30651,-0.046607,0.096161,-0.13972,-0.015676,-0.20629,-0.16497
SLC2A9,0.21252,-0.24526,-0.31848,0.22771,-0.017139,0.48163,-0.0099281,0.048073,0.12169,0.17656,-0.13218,-0.034311
SLC2A10,0.0059047,0.074816,0.80934,0.44851,0.19839,-0.02867,0.06301,-0.054102,-0.1236,-0.0017041,-0.052629,-0.26479
SLC2A11,0.48361,-0.36281,-0.1535,-0.0064509,0.38482,0.14948,-0.051383,0.29035,0.099448,0.085138,0.20302,-0.0948
SLC2A12,0.12112,0.31343,-0.0038586,0.27364,0.55851,-0.096596,0.14008,-0.07179,-0.23416,-0.11749,-0.14201,-0.36063
SLC2A13,0.30438,-0.24137,-0.30937,-0.12581,-0.16537,-0.4196,-0.012876,0.0098291,-0.01806,0.14808,-0.14326,-0.085284
SLC2A14,-0.00015151,-0.48353,-0.68906,0.058605,0.23242,-0.075977,0.0043872,-0.076185,-0.11231,-0.047803,0.052667,-0.22016
SLC3A1,0.39882,0.021664,-0.0083909,0.32413,0.010875,0.56176,0.039356,-0.036548,-0.064486,-0.061271,-0.0050085,-0.10954
