,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
ABHD14B,-0.014814,0.15476,0.12832,0.023629,0.25647,0.12272,0.061834,0.058873,0.14516,-0.058206,-0.02744,0.15439
ABHD15,-0.24389,0.11056,0.73646,-0.017382,-0.29056,-0.32625,0.17134,0.20968,0.06623,-0.041129,-0.2392,0.039465
ABHD16A,0.18464,0.1059,0.19418,0.25701,-0.12433,-0.33213,0.032045,-0.097486,-0.14096,0.1072,-0.096969,0.010045
ABHD16B,0.081396,-0.11441,0.17956,0.0193,-0.37855,-0.70835,0.11735,-0.087739,-0.079841,0.019959,-0.049798,-0.045162
ABHD17A,0.36524,0.15754,-0.20443,0.53451,-0.087015,-0.16395,-0.11883,-0.0087274,-0.04132,0.10966,-0.14478,0.20998
ABHD17B,0.15883,0.26175,0.37059,0.23623,-0.38572,-0.067776,-0.041693,0.10435,0.071177,0.059196,0.083324,0.14392
ABHD17C,0.2279,0.40554,0.42215,-0.060769,0.21551,-0.010855,-0.007319,-0.039682,-0.089052,-0.24689,-0.25176,-0.36266
ABI1,-0.39469,-0.19546,-0.18707,0.20179,-0.062177,0.10223,0.051685,0.082953,0.16022,0.018043,0.15202,0.15244
ABI2,0.12637,-0.0071406,0.25033,0.18832,-0.17041,0.5136,-0.11689,0.0014162,-0.0061587,-0.14135,0.11544,0.058269
ABI3,0.18507,0.16009,-0.23865,0.20995,0.58285,0.14123,0.021152,-0.13542,-0.086145,0.014205,-0.046741,-0.023943
ABI3BP,-0.26108,-0.14756,0.051067,0.34394,0.11749,-1.1908,0.18957,0.17412,-0.028899,0.039594,0.18071,0.13762
ABL1,0.072102,0.151,-0.23011,0.32918,-0.013258,0.041435,-0.05994,0.12483,0.036754,0.065179,0.14242,-0.24551
ABL2,0.37076,-0.076156,0.27576,0.060819,0.19245,-0.35634,-0.0066255,-0.17173,-0.15115,-0.11236,-0.10884,0.089893
ABLIM1,-0.017703,0.41437,0.26888,0.35763,-0.0016754,-0.68726,0.10225,0.28718,0.0082844,0.04861,-0.059696,-0.21465
ABLIM2,-0.28335,0.052874,0.24773,-0.078455,0.29849,0.064687,0.015286,0.13169,-0.042109,-0.15452,-0.0007805,0.00095435
ABLIM3,-0.13911,-0.20761,-0.18527,0.16638,-0.22509,0.18434,0.0012862,-0.10239,-0.29648,0.072786,-0.1283,-0.23395
ABO,-0.034902,-0.054927,0.055047,0.3667,0.56482,0.1723,0.045933,-0.067599,-0.23779,-0.059301,-0.11694,-0.11357
ABR,0.013547,0.27649,0.41918,0.18797,0.49833,0.17514,-0.028338,-0.10688,0.14794,0.11943,-0.111,0.16035
ABRA,0.31271,0.089401,0.273,0.15408,0.46186,0.061777,0.13384,0.048742,0.15149,0.074486,-0.072547,0.085226
ABRACL,0.10794,0.11475,0.3286,0.13049,0.13937,0.1946,-0.15382,-0.077346,-0.20879,0.1607,0.10451,0.25248
ABT1,0.51347,0.23149,0.80839,0.50191,-0.28346,0.66323,0.17252,-0.14171,-0.40572,-0.077502,0.026111,-0.2222
ABTB1,0.28374,0.61161,-0.14392,0.33191,0.18306,-0.56688,0.17472,-0.25994,-0.4701,-0.081186,-0.2783,-0.23998
ABTB2,0.045543,0.042591,0.29621,0.21724,-0.066162,-0.34937,-0.0070404,-0.015657,-0.13832,0.12595,0.075714,-0.1448
ACAA1,-0.15285,0.23997,0.15414,0.1382,-0.35989,0.20156,-0.015788,0.17064,0.062793,0.043848,0.25432,-0.2222
ACAA2,0.31386,0.37959,0.21002,-0.136,-0.091721,-0.33368,0.11921,0.14702,0.0337,0.011724,-0.027747,0.095967
ACACA,-0.20473,0.59408,0.38621,0.68987,0.16149,-0.12408,0.0080983,0.10545,0.28372,0.1543,0.17532,0.18013
ACACB,-0.13504,0.39174,0.12404,0.29559,-0.22468,-0.16443,-0.059338,0.073975,-0.23262,0.14164,0.069228,-0.38079
ACAD8,0.15765,0.13347,0.17432,0.15587,-0.13882,0.36666,-0.011682,-0.09162,-0.013721,-0.13596,-0.07063,0.091593
ACAD9,0.051497,-0.2086,0.020082,0.22389,-0.0083828,0.034296,0.088226,0.11934,0.17121,0.10338,0.24593,0.14413
ACAD10,-0.43187,-0.017656,-0.53676,0.63219,-0.63263,0.28778,0.2667,0.12422,-0.0066224,0.34013,0.16714,-0.21044
ACAD11,-0.16604,-0.082609,-0.090409,0.28232,-0.074326,0.17317,-0.036473,0.024557,-0.017162,-0.20607,-0.087246,-0.1204
ACADL,0.062998,-0.2608,-0.86499,0.25314,0.42354,0.20529,0.080609,0.02196,-0.039975,0.097566,0.17458,0.21827
ACADM,0.57158,-0.28647,0.2082,0.092485,-0.27197,-0.078766,-0.067573,0.0012968,-0.12991,0.030494,0.13908,0.20496
ACADS,0.24349,0.43884,-0.025173,0.093832,0.046606,-0.54818,0.056615,-0.10373,0.0894,0.21281,0.00042118,0.0074219
ACADSB,-0.22624,-0.41943,-0.30945,0.16666,0.12252,0.26417,0.22943,-0.085121,0.19875,-0.011501,0.097338,0.1809
ACADVL,0.34291,0.017761,0.30231,0.65206,0.13489,-0.14284,0.0079049,0.19571,0.10938,0.21281,-0.016795,0.013651
ACAN,-0.058154,0.48643,0.35191,0.52805,-0.14541,-0.014607,-0.11398,-0.23498,-0.34194,-0.12321,-0.069807,-0.072422
ACAP1,-0.048544,0.11795,0.59388,0.26314,-0.44325,0.28692,-0.096277,0.12878,0.14084,0.071813,-0.22173,0.27174
ACAP2,0.16004,0.32924,0.23213,0.12354,-0.067865,0.44413,-0.19154,0.020124,0.049006,-0.031421,-0.098059,0.029647
ACAP3,-0.048833,0.0042047,-0.0051552,0.26725,0.032838,0.12149,0.062161,-0.080244,-0.046685,-0.07481,-0.0078623,-0.072493
ACAT1,0.34226,0.16338,0.21221,0.29601,1.1087,0.1895,0.083055,0.2099,0.12232,-0.0016396,-0.19793,0.091637
ACAT2,0.12287,-0.12419,0.045363,0.1875,0.037047,0.70031,0.087123,0.049838,0.084281,-0.029579,-0.09389,-0.017055
ACBD3,0.023913,0.13469,-0.23559,0.20263,0.40867,0.30175,0.013391,0.12439,0.16846,0.16607,0.21967,0.58983
ACBD4,0.040898,-0.094436,0.082288,-0.054334,-0.14989,-0.13596,-0.13379,-0.14663,-0.041483,-0.067937,-0.14785,-0.15046
ACBD5,-0.034048,-0.30325,-0.29495,0.11564,-0.2079,0.16096,-0.015862,-0.17924,-0.090752,0.10367,-0.054445,0.077797
ACBD6,-0.15401,-0.04796,-0.21568,0.32628,0.13118,-0.068021,0.023918,-0.077887,-0.13308,-0.038091,0.015535,-0.18024
ACBD7,0.00088959,-0.15292,-0.31952,0.25885,0.13873,0.24986,0.011078,-0.07551,0.0097476,-0.016638,-0.0081433,0.13666
ACCS,-0.24115,0.1098,-0.0037105,-0.024373,-0.039226,-0.093494,0.014121,0.038377,0.25366,0.010373,0.04771,0.042292
ACCSL,-0.0023822,0.27483,-0.093534,0.32946,-0.077225,-0.27272,-0.027196,0.06132,0.055351,0.099552,-0.050669,-0.020475
ACD,0.0082785,0.21279,0.327,0.44778,0.1782,0.30246,0.078037,0.1851,0.11557,-0.019628,0.09778,-0.026687
ACE,0.13913,0.12788,0.29182,0.54973,-0.085603,0.16823,-0.1499,-0.068327,-0.028471,-0.011671,-0.052733,0.14965
ACE2,-0.2319,0.036775,0.32095,0.033625,0.080497,0.76568,-0.16365,-0.039315,0.17791,0.12593,0.082394,0.092019
ACER1,0.44334,0.36116,0.027133,0.33878,0.15399,-0.13346,-0.050292,0.04241,-0.0052271,0.055116,-0.041285,-0.21573
ACER2,0.2683,-0.23942,0.067461,0.41654,-0.047472,-0.12847,-0.31985,-0.1752,-0.037254,-0.30786,-0.16662,0.14808
ACER3,0.10667,0.72247,-0.016886,-0.20421,0.34659,0.273,-0.093421,-0.63667,-0.1721,-0.13131,-0.11198,0.20879
ACHE,-0.198,-0.1379,-0.47777,-0.13313,-0.34752,-0.25651,-0.0089314,-0.011722,-0.016057,0.03807,0.16353,0.28685
ACIN1,0.17296,0.025152,0.36225,0.68943,-0.087319,-0.17528,0.093532,0.26919,0.010375,0.21947,0.10814,0.0021973
ACKR1,-0.085271,-0.048223,0.080118,-0.027721,0.30882,0.32203,0.20307,-0.022515,-0.44308,0.10946,-0.34037,-0.19608
ACKR2,0.1235,0.28506,0.48292,-0.094172,-0.38482,-0.24096,0.060789,0.073224,0.11929,0.062551,0.064921,0.10218
ACKR3,0.33259,-0.15888,0.096845,0.28373,0.076102,-0.56048,-0.019124,-0.21259,-0.17966,-0.043734,-0.12172,-0.091359
ACKR4,0.082024,0.0010193,0.081665,0.093732,-0.11897,0.011825,-0.051584,0.072233,-0.06889,-0.0043923,-0.16131,-0.085958
ACLY,-0.267,0.13388,0.42043,0.83426,1.3466,-2.0299,0.093448,0.17305,-0.35886,0.19723,0.30431,-0.022349
ACMSD,0.055379,-0.18869,-0.00081881,0.3012,0.090203,-0.02498,-0.05208,-0.070371,-0.019215,0.045568,0.062889,0.077282
ACO1,0.092576,-0.044246,-0.15925,0.097083,-0.68092,0.318,-0.11528,-0.20987,-0.2881,-0.11724,0.085223,0.24537
ACO2,-0.11915,0.37808,0.33517,0.34514,-0.053123,0.18382,-0.0059887,0.11572,-0.43532,0.014128,-0.0027877,0.12959
ACOT1,-0.010879,0.3064,0.37947,-0.17399,-0.077505,0.16061,-0.045217,0.018737,0.18657,-0.088399,-0.25005,-0.085423
ACOT2,-0.011228,0.20524,0.14596,0.21242,-0.054442,0.17881,0.10429,-0.036685,0.05711,0.10576,0.099042,-0.096005
ACOT4,0.35339,0.18001,0.62542,0.44612,-0.13759,0.0098856,-0.074207,-0.030014,0.088596,0.15941,-0.12016,-0.087575
ACOT6,0.076375,0.19893,0.28734,0.12305,0.052443,-0.0080454,0.075299,0.068109,-0.084939,-0.17109,0.00039451,0.026029
ACOT7,-0.047439,0.17328,0.024545,0.0063416,0.1288,0.036235,-0.075873,-0.099251,-0.1039,-0.1674,-0.087405,-0.1481
ACOT8,-0.0031904,-0.43016,0.85514,0.11021,0.022841,-0.31116,-0.21864,-0.18357,-0.12633,-0.18986,-0.027155,-0.18039
ACOT9,-0.10994,0.18184,-0.41087,0.24567,-0.029186,-0.046489,-0.092017,0.043833,0.002336,-0.13358,-0.0056262,-0.12193
ACOT11,0.21146,0.2715,0.14066,0.1372,0.18541,-0.11527,0.052987,-0.066861,-0.12179,-0.14614,-0.12483,-0.28992
ACOT12,0.13834,0.31123,0.1673,-0.064036,0.11695,-0.11955,0.050228,0.0051149,-0.033142,-0.079406,-0.019908,-0.048926
ACOT13,0.037427,0.18113,0.99545,-0.1943,0.14447,0.60403,0.20174,-0.16778,-0.10542,-0.32079,-0.15623,-0.09659
ACOX1,-0.045832,0.22492,0.54824,0.39899,-0.39619,-0.24181,0.14395,0.25483,0.0034565,-0.15095,0.28697,0.1331
ACOX2,-0.19616,0.028036,-0.037538,0.23536,-0.19011,0.28375,0.067814,-0.072968,0.13202,-0.18192,-0.05676,0.099508
ACOX3,0.36605,0.26036,0.43459,-0.04459,0.052065,-0.24602,0.18261,-0.045625,0.16346,-0.082182,0.055219,0.19217
ACOXL,0.33052,0.2993,1.0526,0.42154,0.2676,0.053088,0.14209,-0.19097,-0.041443,-0.0013021,-0.22016,-0.18206
