GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
STAT5A,0.47367422450639,0.307254949545997,0,9641.2511255012,-0.0912322844429297,0,8032.49753120247,0.48893534856477,-2.26530241856385,1,3387.05484903654,-0.293863143861493,-0.226465738263153,1,6288.34034615626
FKBP8,-1.16044151461898,-0.323786960642263,0,6629.85600923948,-0.0310353799254755,1,8242.61726800261,-4.48924288888562,0.0458918184280841,0,7657.7400099981,-6.70613099426687,-0.226387568034387,1,3776.53342901891
C8orf59,2.58184086206496,-6.17687082432326,2,161.803653805072,-8.5793044697038,2,53.2361598627709,-1.90821896098045,1.57818135726889,0,9183.02341782006,-0.936273739092982,-0.2262861510483,0,8121.20883296894
PLCB1,1.20088457649983,0.769423760242121,0,10097.4964737316,-1.19983253731027,0,1469.34387628377,1.82694899028283,0.964667997380501,0,6399.57486157078,1.34339980240653,-0.226254997337246,1,6472.66454277693
C15orf26,0.386734303860226,-1.16355669688039,0,2078.54365943194,-1.03695837104844,1,4516.45729854393,-0.311054116286682,0.58181022087725,0,13074.6070725157,0.490381282130736,-0.226046065573792,0,7307.63078116272
PGR,-0.590155382864197,0.9256688539696,0,11870.6324714384,0.596401938770827,0,9948.261256776,-1.64045918594755,0.0886400801383168,0,9617.09128330021,-1.71876709028901,-0.225577780431848,1,7129.91588692902
ARFGAP1,0.953981606257279,-0.515940608148533,0,4880.0169313497,1.03739811531167,0,6452.60817262292,-0.402038641605698,0.920073568240329,0,12985.9972962778,-0.644678812732591,-0.22532153894517,0,8961.48752553705
CDC26,-4.42547628104633,-0.329008567952841,1,9448.70125929833,-1.34504688292535,2,1830.92206640813,-4.10391334914008,0.450474322770312,0,10870.6545438951,-5.1159018055829,-0.225275695708896,0,8896.03966034409
DYRK3,2.05765673017053,-0.830949304925555,0,2833.0355896705,0.690664511654423,0,10436.1876567424,-2.11202178749753,1.0705415080927,0,14719.0703902233,-1.6795961952176,-0.225197924212826,0,4015.61551306805
NAT8,0.062893725481378,0.352599240597654,0,7741.47400594612,1.33140338420285,0,14489.3313773613,-0.658688575113784,-0.204624912099718,1,7889.57082347017,-0.571057842710536,-0.225189595679136,0,8660.19163722441
