"Supplemental Table S0. Genome-wide Etoposide score (etoposide vs. vehicle controls) and essential score (vehicle control vs. day 0 replicates) at day 4 (early), day 12 (intermediate), and day 18 (late) using MAGeCK-RRA",,,,,,,,,,,,
Gene,Day4.Etop.Score,Day4.Etop.FDR,Day4.Ess.Score,Day4.Ess.FDR,Day12.Etop.Score,Day12.Etop.FDR,Day12.Ess.Score,Day12.Ess.FDR,Day18.Etop.Score,Day18.Etop.FDR,Day18.Ess.Score,Day18.Ess.FDR
ACAP2,0.180679849565074,1,0.0097881,1,-0.606196742344919,1,0.065526,1,-1.13485455310481,0.962192,0.12508,1
ACAP3,-0.650897391436968,0.996776,-0.2169,0.154839,-0.727624562699455,1,0.31542,0.899631,-0.0796940161301529,1,-0.13236,1
ACAT1,-0.45717457304082,1,-0.024307,0.999976,0.877849680559195,1,0.099415,0.917786,-1.54631480551873,0.904059,-0.022618,1
ACAT2,-0.317061098330221,1,-0.038116,0.999976,-0.819845440546652,1,0.040166,1,0.437219571692313,1,0.25606,1
ACBD3,0.323690567999544,1,0.19723,0.864846,1.4527176920367,0.893999,-0.3114,0.71325,-1.69237561815188,0.878414,0.27197,0.858685
ACBD4,0.545490514314094,1,-0.20793,0.821972,0.839501456477654,1,0.23381,0.953357,0.606916397910544,1,-0.24099,1
ACBD5,-1.39250208562122,0.944459,0.16399,0.896371,-0.289848773090817,1,0.19163,0.791359,0.299841656066367,1,0.2798,0.954267
ACBD6,-0.584726090647111,1,0.29122,0.776153,1.08574148829951,0.994386,-0.18254,1,-0.958488887040677,0.984832,0.62218,0.441209
ACBD7,-1.75678826825524,0.900776,0.13365,0.970804,-0.336892984909665,1,0.0043442,1,0.80310565308872,1,0.16546,0.969499
ACCS,0.0766264378991423,1,-0.023187,0.999976,0.706991213341435,1,-0.0035778,1,0.470736516584414,1,-0.27266,1
ACCSL,1.74644393277988,0.753336,-0.12333,0.999976,-0.278123462734822,1,0.33869,0.8486,0.0757569066529944,1,0.1368,0.967159
ACD,0.358387096088491,1,-0.4692,0.172387,0.828215059445879,1,-0.24883,1,-2.02349870926067,0.759351,-0.48153,0.459152
ACE,0.973221671340471,1,0.10334,1,0.785235603331961,1,0.19086,1,0.835647144215563,1,0.11904,1
ACE2,0.598065536407696,1,0.37079,0.817079,0.416994036611104,1,0.27679,0.854434,-0.113791375832503,1,0.59318,0.726457
ACER1,-0.342810244379119,1,-0.11369,0.999976,-1.43735032778808,0.953175,0.19905,1,-0.494443061336178,1,-0.00019346,1
ACER2,1.25441778659554,0.99226,0.094067,1,0.497422678341374,1,0.29691,0.976785,1.1922620779859,0.960285,-0.010977,1
ACER3,1.19777376230893,1,0.013441,0.985137,0.119603759468651,1,-0.050928,1,-0.47616252292351,1,0.20324,0.979921
ACHE,-2.32170929828196,0.810425,0.30678,0.760785,-1.13970991822291,0.970318,0.65522,0.833473,-2.64177952689132,0.574095,0.82571,0.630883
ACIN1,1.26244162221392,0.992039,-0.043257,0.999976,0.862234579942658,1,-0.69737,0.709982,1.2111178225831,0.960285,-0.37084,1
ACKR1,-1.37468754903833,0.944459,-0.084043,0.999976,-0.6089766306299,1,0.18269,1,-0.611898798429483,1,0.0586,1
ACKR2,-0.602042619896113,1,-0.13512,0.434626,-0.789226819529825,1,-0.18654,1,-0.763966852882364,1,-0.52986,0.53968
ACKR3,0.889544975538985,1,-0.047595,0.999976,-1.11245021182574,0.975174,0.29104,0.892547,1.18403726823414,0.960285,0.27257,0.875353
ACKR4,-0.567367377745417,1,0.077578,1,-0.1756853834324,1,0.65268,0.722216,-0.090369098854165,1,0.37793,0.562857
ACLY,0.363552225082471,1,-0.20666,0.999976,1.75210034911119,0.781428,-1.5329,0.622477,1.54006498314848,0.898885,-2.0901,0.188475
ACMSD,-1.16775302029265,0.959576,0.23651,0.923026,0.554395796726402,1,-0.42563,1,-0.498981840151341,1,0.45579,0.966786
ACO1,0.131102933300169,1,0.063191,1,-0.680748158859746,1,0.60121,0.78693,-0.620694482249418,1,0.59906,0.7882
ACO2,1.50459443685381,0.890196,-0.51747,0.625536,1.46895559473176,0.891054,-1.344,0.5931,2.79547305700016,0.399227,-2.2539,0.042777
ACOT1,0.465212641370508,1,0.080351,1,-0.803906756262485,1,-0.70282,0.804471,-0.322228849317622,1,0.01099,0.979921
ACOT11,-1.71036646099035,0.917573,0.031439,0.964002,1.81981675815177,0.754965,-0.068792,0.672399,-1.31816201787985,0.948174,0.27351,0.936055
ACOT12,1.46194179409161,0.905018,0.044614,1,-0.243249818869399,1,0.31335,0.960954,-0.334428389093753,1,0.46139,0.837608
ACOT13,-1.39072582759541,0.944459,0.062677,1,-1.30222159578309,0.953337,0.45231,0.987585,-0.321399686334249,1,0.23562,1
ACOT2,-1.43054415575932,0.944459,0.21706,0.785078,0.856080061614164,1,-0.00097869,0.358939,-1.3504412354944,0.943292,0.3172,0.902675
ACOT4,0.353772772406039,1,0.028953,0.99677,0.172346460517238,1,0.24145,0.994767,-1.02451304648629,0.974491,-0.03297,1
ACOT6,0.178191801574715,1,-0.050711,0.999976,0.433303304883536,1,0.58224,0.769341,0.972202056649701,1,0.38447,0.865281
ACOT7,-2.37939553461028,0.80486,-0.096845,0.999976,-0.712086352923966,1,-0.55886,1,-0.215475423802971,1,-0.56309,0.307947
ACOT8,-0.819415403397044,0.99011,0.13934,1,0.942904710387333,1,0.23032,0.976785,-0.183838272698806,1,0.014972,0.910598
ACOT9,-1.69486368105636,0.920719,0.20638,0.684392,0.810229043653126,1,0.089503,1,-0.87758750458872,0.99001,0.43274,0.774807
ACOX1,0.587791534118319,1,-0.054656,0.999976,1.14558463908223,0.9776,-0.54777,0.813051,0.201487466968648,1,0.34373,0.907368
ACOX2,-0.371457816587431,1,0.12814,1,-2.09806786414035,0.831605,0.55693,0.580083,-0.801232978990591,1,0.30119,0.785451
ACOX3,0.366400265932098,1,-0.10165,0.999976,0.629801596440893,1,-0.083838,1,-1.11744700331296,0.965143,0.065779,1
ACOXL,3.61044411190476,0.104138,-0.053711,0.999976,-0.710857164067667,1,0.76628,0.733965,0.404294397306463,1,0.82619,0.667997
ACP1,-0.134463723574676,1,0.16943,0.909981,1.68014472633207,0.819233,-0.87975,0.4479,-0.595491270896701,1,-0.026271,1
ACP2,0.807042470115344,1,-0.34309,0.910934,0.0787454331292885,1,0.34632,0.942855,1.17439215276344,0.960285,-0.095079,1
ACP5,0.408846316061712,1,-0.314,0.245848,-0.996927404032325,0.991461,0.15134,0.92199,0.452643796823649,1,-0.077889,1
ACP6,0.26491233577216,1,-0.2193,0.953313,1.16557293773424,0.975182,-0.056592,1,1.88110727462638,0.77654,-0.1838,1
ACP3,0.327541919480774,1,0.21697,0.830887,0.622730184560993,1,-0.086328,1,0.206286426591745,1,0.1812,1
ACP4,0.560036064079095,1,0.11444,1,0.455535067815931,1,0.15582,1,1.75224761750253,0.82978,-0.086286,1
ACR,1.92212359564072,0.667973,-0.041277,0.999976,1.70289634985074,0.806525,-0.54324,1,-1.18353995025501,0.955547,-0.23818,1
ACRBP,1.05595677975662,1,0.31093,0.828912,0.268346780304104,1,0.041673,1,-0.689051919670117,1,0.4469,0.751823
GCNA,-0.35222594973117,1,0.0090394,1,-0.365029264827436,1,-0.24239,1,-0.554006818212353,1,0.2485,0.722958
ACRV1,-1.05950841798793,0.963959,0.08434,0.96675,-1.55273340860675,0.94634,0.88283,0.486034,0.526995035732729,1,0.5272,0.767719
ACSBG1,-0.300396388141426,1,0.26321,0.87082,-1.97963871735229,0.854946,0.030849,0.509781,1.09162222756761,0.975771,0.22475,0.817576
ACSBG2,-0.904621400439936,0.983944,0.0097532,1,0.199956875697247,1,0.41934,0.90674,1.23001007145834,0.960285,0.41655,0.881931
ACSF2,1.02341161429079,1,-0.13433,0.959201,0.501813548077769,1,-0.12002,1,1.1655347881838,0.960285,-0.2938,1
ACSF3,0.60791888020184,1,-0.14504,0.975026,-1.21576082935773,0.95715,0.29427,0.819466,0.410206728163205,1,0.044501,1
ACSL1,-0.134037764833871,1,-0.14508,0.999976,-1.15213133188455,0.967384,0.29892,0.882375,-0.557645677060601,1,0.28012,0.982144
ACSL3,0.356606549526847,1,-0.21215,0.999976,1.12216235477625,0.981823,-0.73639,0.527285,1.25451141985885,0.956358,-1.3035,0.024147
ACSL4,1.80531918735006,0.730919,-0.38487,0.146127,3.16363157079064,0.273599,-1.2151,0.10325,3.48457657308081,0.198745,-1.3823,0.001897
ACSL5,-1.50138623530024,0.942718,0.19013,0.692043,0.332136296097016,1,0.52328,0.896661,0.23659447052572,1,0.12924,0.977553
