Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
BEAN1,644.5388552,2.015162833,0.009339234,424.0093849,2.266067925,0.004745145,426.897595,3.29386693,0.000615539,50.3,4.09e-09,6.75e-05,2.2660679246437,2.63689445468057
C11orf31,456.7508403,3.428121015,3.37e-05,131.5691839,1.783195156,0.03151939,121.9483683,1.90361775,0.025846119,50.2,4.29e-09,7.07e-05,1.90361774973224,2.58072591346749
DEXI,443.062438,3.414183474,5.08e-06,380.6560284,1.564678142,0.030764225,37.18988964,1.235073663,0.175967707,50.2,4.29e-09,7.07e-05,1.56467814173027,2.41254696383827
MID1,33.48306946,0.251914316,0.806702324,244.8675721,1.929370006,0.028175775,59.5851018,-4.275081126,1.28e-06,50.1,4.49e-09,7.4e-05,0.251914316428877,0.751699290418413
CAMK1D,30.07511667,-1.868336891,0.044082435,74.8625944,0.880935219,1,38.2070002,-4.184095548,6.88e-07,49.9,4.92e-09,8.12e-05,-1.8683368905794,-0.466954870686392
DNASE2B,64.07271744,0.779342449,1,282.7249521,5.121387025,4.06e-08,60.50943373,0.205550722,0.798927116,49.8,5.16e-09,8.5e-05,0.779342449045117,3.65070483449193
FBXO21,266.7131792,3.423431729,0.000776129,351.628438,1.576877151,1,339.9194267,3.125638959,4.19e-05,49.7,5.4e-09,8.9e-05,3.12563895924313,2.90304286372836
RNASE1,22.16839734,-3.663713843,2.63e-05,199.8251848,1.808919361,0.02770031,10.35069432,-2.113468928,0.045345499,49.7,5.4e-09,8.9e-05,-2.11346892789841,0.346264610460531
REST,91.20553052,-0.62219965,1,892.5844918,4.480725382,3.06e-07,414.4986115,1.212196506,0.112422659,49.6,5.65e-09,9.32e-05,1.21219650644373,3.07574383599478
PAK2,94.24487711,1.371361447,0.135584595,68.39066586,-2.366259686,0.006652171,22.60109034,-3.701579947,3.76e-05,49.6,5.65e-09,9.32e-05,-2.36625968567019,-0.0699787647729482
CCL5,193.0622325,1.703531235,0.058300957,324.7024701,2.006143476,0.030233005,328.0923602,4.045318137,2.34e-05,49.1,7.12e-09,0.00011734,2.00614347566321,2.98699413183104
NT5DC3,278.3502141,1.769641131,0.014843952,139.2299111,0.90803355,0.289202386,30.44445858,-3.676984073,9.46e-06,49.1,7.12e-09,0.00011734,0.908033549821549,0.838443898686593
FAM84A,24.91055602,-4.879620529,4.06e-07,55.44549301,-1.458777574,0.139322652,77.76758806,0.231309681,0.798456943,48.8,8.18e-09,0.000134719,-1.45877757440676,-0.932663447699193
IL1A,22.93349554,-2.540323787,0.002221735,183.5055601,1.473289402,0.116486348,22.67962254,-3.37612081,0.000180953,48.7,8.56e-09,0.000141062,-2.54032378707014,0.0213659261076748
TNS4,31.52714473,-4.297346314,1.56e-06,144.0892308,1.791899065,0.069478003,179.6117992,0.604452408,0.463802074,48.5,9.39e-09,0.000154662,0.604452407818648,0.74673262472783
SOD1,84.85914266,1.405478901,0.155032905,46.28153394,-2.950218078,0.000380603,17.32174416,-2.917280834,0.000844983,48.5,9.39e-09,0.000154662,-2.91728083364423,-0.0435358299280745
KIAA0195,68.68359397,2.638168988,1,94.47102463,2.083912956,0.027224267,27.38093903,-4.518561245,2e-06,48.3,1.03e-08,0.000169558,2.08391295552826,1.80853540678371
CPSF4L,191.6481189,2.249171268,0.02851034,119.0736654,0.959905203,0.251290226,27.37888408,-4.447861816,7.62e-06,48.3,1.03e-08,0.000169558,0.959905202988261,1.16887719826162
UVSSA,227.6583384,1.805287466,0.056180767,8.746472487,-3.361726736,0.00107239,77.17275126,-3.167264495,0.000878893,48.3,1.03e-08,0.000169558,-3.16726449538015,0.303959241262214
GOLPH3,95.33274947,1.731579172,0.055755521,234.9265374,2.849059993,9.76e-05,56.47940618,2.449808673,0.010308718,48.2,1.08e-08,0.000177513,2.44980867287043,2.41410441839173
ZNF197,90.82031057,-0.351946179,0.636184618,125.1829551,2.436547042,0.000729058,13.38216852,-3.948556212,0.00012479,48.1,1.13e-08,0.000185861,-0.351946178735726,1.06160121331859
ASAP1,39.79892979,-4.06208837,4.57e-06,19.77293208,-1.743666808,0.038923658,150.6208293,0.805452306,0.329421735,48.1,1.13e-08,0.000185861,-1.74366680766993,-0.510340152926058
RARA,122.8404617,0.602757038,0.506377365,143.673426,2.14087285,0.015531646,23.98135882,-4.177099648,7.96e-06,47.9,1.24e-08,0.000203749,0.602757037926775,0.99619199130409
SPRTN,458.2180036,1.981878895,0.040573434,44.09794506,-4.137422082,1.61e-06,115.4757772,0.8746177,1,47.7,1.36e-08,0.000223366,0.874617700099621,0.961108482521294
